Ticker,BRK-B,BRK-B,BRK-B,BRK-B,BRK-B,LULU,LULU,LULU,LULU,LULU,PYPL,PYPL,PYPL,PYPL,PYPL,NKE,NKE,NKE,NKE,NKE,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA,ADBE,ADBE,ADBE,ADBE,ADBE,UNH,UNH,UNH,UNH,UNH,NVO,NVO,NVO,NVO,NVO
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,227.50999450683594,228.38999938964844,226.7100067138672,228.38999938964844,3764000.0,232.89999389648438,233.47000122070312,231.77000427246094,233.4199981689453,1449300.0,109.47000122070312,111.20999908447266,109.2750015258789,110.75,7418800.0,94.09533748948796,94.88441496389956,93.7797022501745,94.87512969970703,5644100.0,382.345406713081,385.5468634678556,380.8818780422865,383.3973083496094,347226.0,330.0,334.4800109863281,329.1700134277344,334.42999267578125,1990100.0,268.3774543174789,269.9476615825461,264.5523568728063,267.0263366699219,2543400.0,26.487126115455233,26.52800838840777,26.350850717070994,26.509838104248047,2224800.0
2020-01-03,225.69000244140625,227.42999267578125,225.47999572753906,226.17999267578125,3023900.0,231.24000549316406,234.5,230.22999572753906,232.63999938964844,1315400.0,109.48999786376953,110.41999816894531,108.76000213623047,108.76000213623047,7098300.0,93.3805407711269,94.68948708040762,93.1206099790214,94.61521911621094,4541800.0,381.4307133387301,383.3515930175781,378.7780832653152,383.3515930175781,291716.0,329.1700134277344,332.9800109863281,328.69000244140625,331.80999755859375,1577600.0,262.25186298492054,266.4603960594097,259.59528934038013,264.3241882324219,2711400.0,25.851178363534224,26.07375999808772,25.828466376207597,25.942028045654297,2491200.0
2020-01-06,224.99000549316406,227.1300048828125,224.6999969482422,226.99000549316406,4263000.0,231.49000549316406,235.52999877929688,230.8000030517578,235.42999267578125,1460700.0,107.56999969482422,110.22000122070312,107.44000244140625,110.16999816894531,6764500.0,93.71473620466678,94.54094779995768,93.640475325686,94.53166961669922,4612400.0,379.601295168534,380.6989486336114,373.7472084885914,379.7384948730469,363953.0,328.2900085449219,333.9100036621094,328.19000244140625,333.7099914550781,1874700.0,262.91826648006855,266.2595227930981,262.20619728941125,266.1590881347656,3079100.0,25.887521128512475,25.973827380810334,25.833010274921897,25.896604537963867,2495000.0
2020-01-07,227.25999450683594,227.25999450683594,225.44000244140625,225.9199981689453,3517000.0,235.5,236.85000610351562,233.33999633789062,233.6999969482422,1367900.0,111.5,111.55999755859375,109.52999877929688,109.66999816894531,6898700.0,94.51310872754748,95.37645439170137,93.58478036104148,94.48526000976562,6719900.0,381.97951983695384,385.59257560096177,379.9671644868705,380.5159912109375,363885.0,334.1499938964844,334.7900085449219,332.30999755859375,333.3900146484375,2500800.0,265.38321198590074,266.1043915438344,262.5349065519032,264.5524597167969,2492900.0,25.892062422244983,25.892062422244983,25.69219449402654,25.86935043334961,2080600.0
2020-01-08,226.02999877929688,227.83999633789062,225.8699951171875,225.99000549316406,3780300.0,234.8800048828125,238.00999450683594,234.00999450683594,237.27000427246094,1883900.0,110.4000015258789,112.63999938964844,109.81999969482422,111.81999969482422,8293600.0,94.04893226668399,94.81944641011725,93.62190212374786,94.27173614501953,4942200.0,379.326862722256,383.0771179199219,378.2749332788044,383.0771179199219,360741.0,333.80999755859375,339.2300109863281,333.3999938964844,337.8699951171875,2248500.0,266.1135079631904,271.48142812170124,264.78066594704245,270.13031005859375,3379200.0,25.85118044498515,25.97836897050591,25.74216047110043,25.823925018310547,1826200.0
2020-01-09,226.9199981689453,228.85000610351562,226.9199981689453,228.64999389648438,3497300.0,239.22000122070312,239.47000122070312,235.2899932861328,235.89999389648438,1141300.0,112.98999786376953,113.55999755859375,111.58999633789062,112.56999969482422,5944700.0,94.63377142101356,95.07008677340119,94.1231881187341,94.20674133300781,5007500.0,386.0042605270907,388.291015625,385.4097097845325,388.291015625,378062.0,340.1400146484375,341.80999755859375,338.19000244140625,340.45001220703125,1626300.0,268.6605901448481,271.31716453910457,268.1402241804422,268.5966796875,2838200.0,26.05105002056623,26.2236642681116,26.037423172775267,26.09193229675293,1842000.0
2020-01-10,228.5,228.52999877929688,226.58999633789062,226.6199951171875,2572900.0,236.2100067138672,236.27999877929688,233.25999450683594,234.83999633789062,1178100.0,113.63999938964844,113.70999908447266,112.2699966430664,112.93000030517578,6965100.0,94.58738577828954,94.62451976642512,93.53837717314951,93.66834259033203,5135300.0,388.93132421838067,389.9374741453902,386.59881723383427,387.5135192871094,268887.0,342.04998779296875,343.3599853515625,339.6199951171875,339.80999755859375,1480400.0,270.285567772183,270.285567772183,266.7617168079149,269.42742919921875,2477900.0,26.568890892266445,26.832353083617424,26.514380039313536,26.655197143554688,2943000.0
2020-01-13,227.0500030517578,228.47000122070312,226.1300048828125,228.4499969482422,3286700.0,238.57000732421875,245.35000610351562,238.11000061035156,245.17999267578125,4118600.0,113.9800033569336,115.87999725341797,113.86000061035156,115.27999877929688,9652500.0,93.76115612208106,95.00511261554621,93.5940567486592,94.83802032470703,6722400.0,388.33673494812,391.4924681115444,387.5592605556592,390.3490905761719,375035.0,341.5400085449219,345.7300109863281,341.2200012207031,345.6300048828125,2069200.0,268.7335566506603,268.8066051185858,260.1978348156178,260.95556640625,6994900.0,26.88685935707031,26.92319992185797,26.691533153370393,26.78692626953125,2380400.0
