Ticker,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,DOGE-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,SOL-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,BNB-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,0.0020280000753700733,0.0020520000252872705,0.0020210000220686197,0.00203300011344254,51180941,,,,,,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,13.730961799621582,13.873946189880371,13.65494155883789,13.689083099365234,172980718,129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,7935230330,1.7689260244369507,1.8514169454574585,1.7634199857711792,1.8066400289535522,69723037
2020-01-02,0.00203399988822639,0.0021100000012665987,0.0019829999655485153,0.0020089999306946993,65071106,,,,,,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,13.698125839233398,13.715547561645508,12.989974021911621,13.027010917663574,156376427,130.82003784179688,130.82003784179688,126.95491027832031,127.4101791381836,8032709256,1.8071609735488892,1.8168820142745972,1.7216579914093018,1.7411439418792725,52729126
2020-01-03,0.002007999923080206,0.002177000045776367,0.0019910000264644623,0.002145000034943223,62619988,,,,,,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,13.03532886505127,13.76370906829834,13.012638092041016,13.660451889038086,173683857,127.41126251220703,134.55401611328125,126.49002075195312,134.1717071533203,10476845358,1.7409659624099731,1.8265340328216553,1.7125780582427979,1.8097079992294312,61298048
2020-01-04,0.0021440000273287296,0.0024900001008063555,0.002050000010058284,0.0022410000674426556,94227582,,,,,,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,13.667442321777344,13.921914100646973,13.56000804901123,13.891511917114258,182230374,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,7430904515,1.8097349405288696,1.8511120080947876,1.7897419929504395,1.8401329517364502,49108150
2020-01-05,0.002240000059828162,0.002491000108420849,0.0021170000545680523,0.0024190000258386135,52631740,,,,,,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,13.88833999633789,14.41080093383789,13.886547088623047,14.111019134521484,202552703,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,7526675353,1.8388789892196655,1.8552290201187134,1.8036819696426392,1.8077869415283203,55235942
2020-01-06,0.00241800001822412,0.002563999965786934,0.0023789999540895224,0.0024629998952150345,54562409,,,,,,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,14.11124038696289,15.003564834594727,14.11124038696289,14.957807540893555,224800409,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,9093747121,1.8083250522613525,1.9387680292129517,1.8079839944839478,1.937466025352478,80941179
2020-01-07,0.0024850000627338886,0.0024969999212771654,0.0023539999965578318,0.002432999899610877,52767343,,,,,,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,14.966209411621094,15.135274887084961,14.568403244018555,15.009249687194824,191948560,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,9257954672,1.9348360300064087,2.125786066055298,1.9050769805908203,2.114098072052002,140921324
2020-01-08,0.002432999899610877,0.0024649999104440212,0.002265000017359853,0.0022929999977350235,77251526,,,,,,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,15.022263526916504,15.242218971252441,14.33795166015625,14.602933883666992,183632222,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,9387194957,2.113118886947632,2.334433078765869,2.10817289352417,2.183605909347534,192821111
2020-01-09,0.0022909999825060368,0.0023139999248087406,0.002145000034943223,0.0022559999488294125,70690571,,,,,,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,14.589201927185059,14.611088752746582,14.305362701416016,14.498313903808594,169699829,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,7697325348,2.182257890701294,2.2326951026916504,2.114586114883423,2.186048984527588,109938413
2020-01-10,0.002254999941214919,0.0023610000498592854,0.0021989999804645777,0.0023560000117868185,87683356,,,,,,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,14.478408813476562,15.027688980102539,14.182085037231445,15.025826454162598,200173072,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,9084816203,2.189126968383789,2.2586441040039062,2.1618449687957764,2.223958969116211,109888554
2020-01-11,0.0023509999737143517,0.002372999908402562,0.0022960000205785036,0.0023139999248087406,94203409,,,,,,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,15.020984649658203,15.250237464904785,14.779474258422852,14.946328163146973,201663503,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,9332208590,2.224940061569214,2.3349220752716064,2.22161602973938,2.2832469940185547,107902217
2020-01-12,0.0023129999171942472,0.0024129999801516533,0.0023129999171942472,0.002380999969318509,79426215,,,,,,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,14.94620132446289,15.472108840942383,14.869891166687012,15.322083473205566,231150158,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,8528167453,2.2827680110931396,2.310689926147461,2.226564884185791,2.2451930046081543,87342008
2020-01-13,0.002380999969318509,0.002406999934464693,0.0023270000237971544,0.0023580000270158052,83849846,,,,,,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,15.322260856628418,15.355386734008789,14.991215705871582,15.227272033691406,211785744,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,8378529470,2.243891954421997,2.244438886642456,2.163454055786133,2.192452907562256,78803227
2020-01-14,0.0023580000270158052,0.0025140000507235527,0.0023399998899549246,0.002469999948516488,128635383,,,,,,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,15.215287208557129,16.790660858154297,15.194400787353516,16.626121520996094,299316969,144.2510528564453,167.68154907226562,144.06492614746094,165.95535278320312,16712318373,2.1920669078826904,2.4506969451904297,2.181480884552002,2.3899269104003906,135612258
2020-01-15,0.0024679999332875013,0.00254100002348423,0.002363000065088272,0.0023690001107752323,128940321,,,,,,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,16.603866577148438,18.096269607543945,16.39442253112793,17.65481185913086,380806616,165.734619140625,170.42567443847656,161.109619140625,166.23068237304688,15173694057,2.3835079669952393,2.5679140090942383,2.3610169887542725,2.4049770832061768,149371800
2020-01-16,0.0023719999007880688,0.0024240000639110804,0.0022929999977350235,0.0023449999280273914,98124199,,,,,,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,17.64640235900879,17.66079330444336,16.439847946166992,17.076946258544922,260423404,166.33282470703125,167.0581512451172,159.7096405029297,164.39100646972656,13735193018,2.4078218936920166,2.500261068344116,2.2978219985961914,2.4844789505004883,143515776
